,Unnamed: 0,Filename,Unnamed: 1,Unnamed: 2,Blind_x,Visual_x,Visually Impaired_x,Unnamed: 6,Unnamed: 7,Comment_x,Unnamed: 9,Assign value 1 in the category for which you believe dog belongs based on the results of the visual maze testing,Preemptive Navigation_x,Reactive Turn_x,Disoriented Circling_x,Mean Speed (pixels/sec)_x,Visual Status_x,Expert Status,Blind_y,Visual_y,Visually Impaired_y,Comment_y,Preemptive Navigation_y,Reactive Turn_y,Disoriented Circling_y,Mean Speed (pixels/sec)_y,Visual Status_y,Non-Expert Status
0,56,20131120_164243.mp4,,,,,,,,,,,42.0,114.0,7.0,1457.047225,2.0,,,,1.0,uses smell for orientation,42,114,7,1457.047225,2,2.0
1,57,20131123_105855.mp4,,,1.0,,,,,,,,83.0,111.0,10.0,945.6420912,2.0,1.0,1.0,,,,83,111,10,945.6420912,2,1.0
2,58,20140221_132236.mp4,,,,,1.0,,,,,,39.0,136.0,19.0,1151.810789,2.0,2.0,,,1.0,,39,136,19,1151.810789,2,2.0
3,59,20140515_123936.mp4,,,,,1.0,,,,,,34.0,71.0,10.0,983.4022559,2.0,2.0,,1.0,,,34,71,10,983.4022559,2,3.0
4,60,20140711_124858.mp4,,,,,1.0,,,there is no enough data,,,57.0,98.0,12.0,892.4961946,2.0,2.0,,,1.0,Walks slow,57,98,12,892.4961946,2,2.0
5,61,20140822_131700.mp4,,,,1.0,,,,,,,9.0,37.0,4.0,1333.658913,2.0,3.0,,1.0,,,9,37,4,1333.658913,2,3.0
6,62,20140904_104612.mp4,,,1.0,,,,,,,,74.0,107.0,13.0,1061.94878,2.0,1.0,,,1.0,,74,107,13,1061.94878,2,2.0
7,63,20140905_132014.mp4,,,,1.0,,,,,,,12.0,45.0,5.0,1397.731809,2.0,3.0,,1.0,,,12,45,5,1397.731809,2,3.0
8,64,20141016_153628.mp4,,,1.0,,,,,,,,5.0,32.0,2.0,1360.001096,1.0,1.0,,,1.0,Walks slow and hit on object,5,32,2,1360.001096,1,2.0
9,65,20150116_130548.mp4,,,1.0,,,,,,,,9.0,29.0,2.0,1349.22126,2.0,1.0,1.0,,,,9,29,2,1349.22126,2,1.0
10,66,20150520_141835.mp4,,,,,1.0,,,,,,29.0,79.0,14.0,1083.591593,2.0,2.0,,,1.0,,29,79,14,1083.591593,2,2.0
11,67,20150829_104056.mp4,,,,1.0,,,,,,,26.0,45.0,6.0,895.1087758,2.0,3.0,,,1.0,walks aimlessly,26,45,6,895.1087758,2,2.0
12,68,20150831_161350.mp4,,,,,,,,it was too darkmovie!,,,48.0,43.0,10.0,409.8746703,2.0,,,1.0,,,48,43,10,409.8746703,2,3.0
13,69,20151016_114556.mp4,,,,,1.0,,,,,,31.0,58.0,12.0,1006.269628,2.0,2.0,,,1.0,,31,58,12,1006.269628,2,2.0
14,70,20151120_113326.mp4,,,,,1.0,,,,,,37.0,63.0,10.0,1082.628988,2.0,2.0,1.0,,,,37,63,10,1082.628988,2,1.0
15,83,2017-10-23_14-15-22_000.MOV,,,1.0,,,,,,,,20.0,33.0,7.0,850.0669206,2.0,1.0,1.0,,,,20,33,7,850.0669206,2,1.0
16,84,2017-11-07_10-03-44_000.MOV,,,,1.0,,,,,,,3.0,15.0,1.0,1595.531581,1.0,3.0,,1.0,,,3,15,1,1595.531581,1,3.0
17,85,2018-02-19_11-41-30_000.MOV,,,1.0,,,,,,,,9.0,13.0,2.0,1184.713159,2.0,1.0,1.0,,,,9,13,2,1184.713159,2,1.0
18,86,2018-03-06_09-19-39_000.MOV,,,,,1.0,,,,,,7.0,15.0,1.0,1163.3575,1.0,2.0,1.0,,,,7,15,1,1163.3575,1,1.0
19,87,2018-03-20_11-31-20_000.MOV,,,,,1.0,,,,,,17.0,24.0,2.0,1063.143125,2.0,2.0,,,1.0,Try to smell objects,17,24,2,1063.143125,2,2.0
20,88,2018-04-06_12-13-43_000.MOV,,,1.0,,,,,,,,10.0,18.0,0.0,1112.420968,2.0,1.0,,1.0,,,10,18,0,1112.420968,2,3.0
21,89,2018-04-13_11-09-53_000.MOV,,,,,1.0,,,appears with problems but didnt meet any object. lucky?,,,13.0,29.0,4.0,1342.989804,2.0,2.0,,,1.0,Walks unsure,13,29,4,1342.989804,2,2.0
22,90,2018-05-11_15-06-40_000.MOV,,,,1.0,,,,,,,1.0,11.0,0.0,1585.767255,1.0,3.0,,1.0,,,1,11,0,1585.767255,1,3.0
23,91,2018-05-14_09-08-01_000.MOV,,,1.0,,,,,,,,9.0,44.0,6.0,1559.128321,2.0,1.0,1.0,,,,9,44,6,1559.128321,2,1.0
24,92,2018-05-14_10-59-29_000.MOV,,,,,1.0,,,there is no enough data,,,5.0,28.0,7.0,1583.580169,1.0,2.0,,,1.0,,5,28,7,1583.580169,1,2.0
25,93,2018-05-14_12-58-06_000.MOV,,,,,1.0,,,,,,21.0,37.0,7.0,923.4328321,2.0,2.0,,,1.0,,21,37,7,923.4328321,2,2.0
26,94,2018-05-15_10-45-55_000.MOV,,,1.0,,,,,,,,10.0,27.0,3.0,934.4063991,2.0,1.0,1.0,,,,10,27,3,934.4063991,2,1.0
27,95,2018-05-18_13-53-49_000.MOV,,,,,1.0,,,there is no enough data,,,11.0,34.0,4.0,1255.90105,2.0,2.0,1.0,,,,11,34,4,1255.90105,2,1.0
28,96,2018-07-13_10-34-02_000.MOV,,,,1.0,,,,,,,2.0,17.0,1.0,1705.842921,1.0,3.0,,1.0,,,2,17,1,1705.842921,1,3.0
29,97,2018-07-30_11-12-38_000.MOV,,,1.0,,,,,,,,2.0,28.0,2.0,1727.014729,1.0,1.0,1.0,,,,2,28,2,1727.014729,1,1.0
30,98,2018-08-03_10-19-05_000.MOV,,,1.0,,,,,,,,2.0,20.0,0.0,1665.899785,1.0,1.0,1.0,,,,2,20,0,1665.899785,1,1.0
31,99,2018-09-07_09-24-20_000.MOV,,,1.0,,,,,,,,7.0,15.0,2.0,1029.6134,1.0,1.0,1.0,,,,7,15,2,1029.6134,1,1.0
32,100,2018-09-07_11-03-09_000.MOV,,,1.0,,,,,there is no enough data,,,7.0,35.0,8.0,1355.716165,1.0,1.0,1.0,,,,7,35,8,1355.716165,1,1.0
33,101,2018-11-02_13-53-45_000.MOV,,,,1.0,,,,,,,8.0,29.0,5.0,955.6932607,2.0,3.0,,,1.0,Seems to smell objects,8,29,5,955.6932607,2,2.0
34,102,2018-11-09_15-17-04_000.MOV,,,1.0,,,,,,,,29.0,31.0,5.0,625.8304182,2.0,1.0,1.0,,,,29,31,5,625.8304182,2,1.0
35,103,2018-12-04_14-04-19_000.MOV,,,,1.0,,,,,,,6.0,9.0,0.0,1131.541662,1.0,3.0,,1.0,,,6,9,0,1131.541662,1,3.0
36,104,2018-12-07_10-26-56_000.MOV,,,,1.0,,,,,,,7.0,13.0,2.0,968.9494164,1.0,3.0,,1.0,,,7,13,2,968.9494164,1,3.0
37,105,2019-02-22_12-24-22_000.MOV,,,1.0,,,,,,,,33.0,61.0,13.0,1050.792761,2.0,1.0,1.0,,,,33,61,13,1050.792761,2,1.0
38,106,2019-02-26_10-54-22_000.MOV,,,,1.0,,,,there is no enough data,,,24.0,41.0,9.0,819.2927292,2.0,3.0,1.0,,,,24,41,9,819.2927292,2,1.0
39,107,2019-03-01_11-30-11_000.MOV,,,,1.0,,,,,,,29.0,26.0,3.0,783.6725024,2.0,3.0,,1.0,,,29,26,3,783.6725024,2,3.0
40,108,2019-03-05_12-10-54_000.MOV,,,,1.0,,,,,,,17.0,48.0,3.0,924.9658846,2.0,3.0,1.0,,,,17,48,3,924.9658846,2,1.0
41,109,2019-03-08_10-00-30_000.MOV,,,,1.0,,,,,,,1.0,16.0,0.0,1864.897016,1.0,3.0,,1.0,,,1,16,0,1864.897016,1,3.0
42,110,2019-03-18_09-51-32_000.MOV,,,1.0,,,,,there is no enough data,,,9.0,20.0,4.0,1239.128892,2.0,1.0,1.0,,,doesn’t move at all,9,20,4,1239.128892,2,1.0
43,111,2019-03-29_13-35-17_000.MOV,,,1.0,,,,,,,,27.0,74.0,22.0,818.4358718,2.0,1.0,1.0,,,,27,74,22,818.4358718,2,1.0
44,112,2019-04-15_10-41-22_000.MOV,,,,1.0,,,,,,,4.0,15.0,0.0,1349.144257,1.0,3.0,1.0,,,,4,15,0,1349.144257,1,1.0
45,113,2019-05-10_12-31-50_000.MOV,,,1.0,,,,,there is no enough data,,,23.0,29.0,4.0,858.9657507,2.0,1.0,1.0,,,,23,29,4,858.9657507,2,1.0
46,114,2019-05-17_11-54-36_000.MOV,,,,,1.0,,,there is no enough data,,,29.0,39.0,9.0,816.2900398,2.0,2.0,1.0,,,,29,39,9,816.2900398,2,1.0
47,115,2019-06-14_13-29-15_000.MOV,,,,,1.0,,,,,,11.0,37.0,5.0,1105.669434,2.0,2.0,,,1.0,Walks very slow,11,37,5,1105.669434,2,2.0
48,116,2019-06-14_14-06-34_000.MOV,,,,1.0,,,,I guess it was actually column 3,,,9.0,25.0,3.0,945.4529086,2.0,3.0,,,1.0,Walks very slow,9,25,3,945.4529086,2,2.0
49,117,2019-06-25_09-41-39_000.MOV,,,1.0,,,,,,,,15.0,64.0,17.0,1026.778064,2.0,1.0,1.0,,,,15,64,17,1026.778064,2,1.0
50,118,2019-06-28_11-52-16_000.MOV,,,,,1.0,,,or is too shame or cannot see well,,,21.0,37.0,4.0,961.6332979,2.0,2.0,1.0,,,,21,37,4,961.6332979,2,1.0
51,119,2019-07-09_10-49-39_000.MOV,,,,1.0,,,,,,,7.0,34.0,2.0,1406.046023,1.0,3.0,,,1.0,Walks slow and almost hit object,7,34,2,1406.046023,1,2.0
52,120,2019-07-09_11-20-21_000.MOV,,,1.0,,,,,,,,7.0,19.0,4.0,915.3010195,1.0,1.0,1.0,,,,7,19,4,915.3010195,1,1.0
53,121,2019-08-06_11-16-27_000.MOV,,,,,1.0,,,no info,,,19.0,52.0,8.0,1015.237214,2.0,2.0,,,1.0,Walks very slow,19,52,8,1015.237214,2,2.0
54,122,2019-09-27_13-07-06_000.MOV,,,,,1.0,,,,,,14.0,20.0,6.0,699.8168361,2.0,2.0,1.0,,,,14,20,6,699.8168361,2,1.0
55,123,2019-10-18_13-07-53_000.MOV,,,,1.0,,,,,,,10.0,26.0,1.0,1285.167152,2.0,3.0,,,1.0,Walks slow and almost hit object,10,26,1,1285.167152,2,2.0
56,124,2019-12-03_12-08-12_000.MOV,,,,,1.0,,,no info,,,8.0,24.0,6.0,1087.173997,2.0,2.0,1.0,,,,8,24,6,1087.173997,2,1.0
57,125,2019-12-06_10-10-47_000.MOV,,,1.0,,,,,,,,26.0,25.0,3.0,706.9917125,2.0,1.0,1.0,,,,26,25,3,706.9917125,2,1.0
58,126,2020-01-03_11-11-16_000.MOV,,,1.0,,,,,,,,5.0,23.0,3.0,894.2470795,1.0,1.0,,,1.0,Seems to smell objects,5,23,3,894.2470795,1,2.0
59,127,2020-01-03_13-49-48_000.MOV,,,,1.0,,,,,,,3.0,22.0,1.0,1477.436062,1.0,3.0,,1.0,,,3,22,1,1477.436062,1,3.0
60,128,2020-02-14_09-50-10_000.MOV,,,1.0,,,,,,,,13.0,52.0,16.0,1055.122668,2.0,1.0,1.0,,,,13,52,16,1055.122668,2,1.0
61,129,2020-03-03_11-50-13_000.MOV,,,,1.0,,,,,,,5.0,27.0,5.0,1333.527951,1.0,3.0,,1.0,,,5,27,5,1333.527951,1,3.0
62,130,2020-04-23_16-23-01_000.MOV,,,,1.0,,,,suspicious,,,20.0,21.0,5.0,812.1977822,2.0,3.0,,,1.0,Walks very slow,20,21,5,812.1977822,2,2.0
63,131,2020-05-07_09-48-40_000.MOV,,,,1.0,,,,,,,25.0,58.0,9.0,1067.600717,2.0,3.0,,,1.0,Walks without orientation,25,58,9,1067.600717,2,2.0
64,132,2020-05-21_13-19-02_000.MOV,,,,1.0,,,,,,,32.0,30.0,8.0,621.0903663,2.0,3.0,1.0,,,,32,30,8,621.0903663,2,1.0
65,133,2020-05-28_12-01-34_000.MOV,,,,1.0,,,,,,,14.0,32.0,5.0,1120.622424,2.0,3.0,,1.0,,,14,32,5,1120.622424,2,3.0
66,134,2020-06-04_11-57-49_000.MOV,,,,1.0,,,,,,,6.0,24.0,3.0,1179.468634,1.0,3.0,,,1.0,Seems to hear owner,6,24,3,1179.468634,1,2.0
67,135,2020-06-18_10-20-08_000.MOV,,,,,1.0,,,,,,38.0,50.0,10.0,695.0955921,2.0,2.0,,,1.0,Seems to smell objects,38,50,10,695.0955921,2,2.0
68,136,2020-06-18_10-53-05_000.MOV,,,1.0,,,,,,,,27.0,42.0,9.0,870.9089788,2.0,1.0,1.0,,,,27,42,9,870.9089788,2,1.0
69,137,2020-07-03_10-45-54_000.MOV,,,,,1.0,,,didn’t hit anything but the head position was suspicions,,,14.0,31.0,4.0,1198.095242,2.0,2.0,,,1.0,Walks slow,14,31,4,1198.095242,2,2.0
70,138,2020-07-03_13-06-58_000.MOV,,,,,1.0,,,almost blind but could see big black things,,,10.0,26.0,3.0,1120.856719,2.0,2.0,1.0,,,,10,26,3,1120.856719,2,1.0
71,139,2020-07-03_14-02-26_000.MOV,,,,,1.0,,,"doesn’t look ok, but no enough info",,,29.0,76.0,15.0,971.2334303,2.0,2.0,,,1.0,Walks slow,29,76,15,971.2334303,2,2.0
72,140,2020-07-09_09-42-15_000.MOV,,,1.0,,,,,blind or with decreased sight,,,15.0,24.0,5.0,1074.161631,2.0,1.0,1.0,,,,15,24,5,1074.161631,2,1.0
73,141,2020-07-14_13-26-52_000.MOV,,,1.0,,,,,"appears blind, but doesn’t move",,,3.0,18.0,6.0,1134.257267,1.0,1.0,1.0,,,,3,18,6,1134.257267,1,1.0
74,142,2020-07-14_13-52-42_000.MOV,,,1.0,,,,,doesn't move. probably not blind but with decreased sight,,,25.0,32.0,6.0,836.6762342,2.0,1.0,1.0,,,,25,32,6,836.6762342,2,1.0
75,143,2020-07-16_12-05-17_000.MOV,,,,,1.0,,,close to blind,,,43.0,69.0,16.0,957.7484528,2.0,2.0,1.0,,,,43,69,16,957.7484528,2,1.0
76,144,2020-07-17_12-45-41_000.MOV,,,1.0,,,,,"appears blind, but doesn’t move",,,25.0,28.0,6.0,699.6194538,2.0,1.0,1.0,,,,25,28,6,699.6194538,2,1.0
77,145,2020-07-23_10-04-15_000.MOV,,,1.0,,,,,,,,35.0,14.0,5.0,673.9404843,3.0,1.0,1.0,,,,35,14,5,673.9404843,3,1.0
78,146,2020-08-06_13-09-59_000.MOV,,,,1.0,,,,,,,10.0,37.0,5.0,1125.121176,2.0,3.0,,1.0,,,10,37,5,1125.121176,2,3.0
79,147,2020-08-27_10-02-37_000.MOV,,,,,1.0,,,almost blind but could see big black things,,,13.0,14.0,3.0,587.2902021,2.0,2.0,1.0,,,,13,14,3,587.2902021,2,1.0
80,148,2020-10-15_13-19-55_000.mov,,,,1.0,,,,slightly suspicions,,,5.0,18.0,2.0,1428.116613,1.0,3.0,,1.0,,,5,18,2,1428.116613,1,3.0
81,149,2020-10-15_16-07-29_000.mov,,,1.0,,,,,pretending that it can see someghint,,,27.0,28.0,5.0,707.8057552,2.0,1.0,1.0,,,,27,28,5,707.8057552,2,1.0
82,150,2020-11-10_13-56-37_000.mov,,,1.0,,,,,"appears blind, but doesn’t move",,,32.0,56.0,10.0,782.9977472,2.0,1.0,1.0,,,,32,56,10,782.9977472,2,1.0
83,151,2020-11-12_09-52-17_000.mov,,,,1.0,,,,no info at all,,,13.0,38.0,5.0,1097.813987,2.0,3.0,1.0,,,,13,38,5,1097.813987,2,1.0
84,152,2020-11-13_13-24-51_000.mov,,,,1.0,,,,,,,31.0,39.0,4.0,1044.901751,2.0,3.0,,,1.0,Seems to smell objects,31,39,4,1044.901751,2,2.0
85,153,2020-11-13_14-20-44_000.mov,,,,1.0,,,,,,,13.0,29.0,4.0,1120.316171,2.0,3.0,,,1.0,Seems to hear owner,13,29,4,1120.316171,2,2.0
86,154,2020-11-24_10-32-36_000.mov,,,1.0,,,,,,,,0.0,20.0,4.0,1065.832284,1.0,1.0,1.0,,,,0,20,4,1065.832284,1,1.0
87,155,2020-12-10_09-38-28_000.mov,,,1.0,,,,,,,,52.0,70.0,13.0,873.0665763,2.0,1.0,1.0,,,,52,70,13,873.0665763,2,1.0
88,156,2020-12-10_10-20-58_000.mov,,,,1.0,,,,,,,43.0,66.0,12.0,999.1402643,2.0,3.0,1.0,,,,43,66,12,999.1402643,2,1.0
89,157,2020-12-15_10-47-17_000.mov,,,,1.0,,,,,,,31.0,19.0,4.0,617.0138789,3.0,3.0,,1.0,,,31,19,4,617.0138789,3,3.0
90,158,2020-12-17_16-40-35_000.mov,,,,1.0,,,,,,,27.0,48.0,10.0,825.3993454,2.0,3.0,1.0,,,,27,48,10,825.3993454,2,1.0
91,159,2020-12-18_14-20-09_000.mov,,,,,1.0,,,,,,35.0,50.0,9.0,698.1783343,2.0,2.0,,,1.0,Walks without orientation,35,50,9,698.1783343,2,2.0
92,160,2021-01-08_13-30-04_000.mov,,,,1.0,,,,,,,29.0,53.0,4.0,1027.099863,2.0,3.0,1.0,,,,29,53,4,1027.099863,2,1.0
93,161,2021-01-22_14-35-51_000.mov,,,,,1.0,,,doesn't move. probably not blind but with decreased sight,,,9.0,39.0,12.0,1007.095334,2.0,2.0,1.0,,,,9,39,12,1007.095334,2,1.0
94,162,2021-01-29_14-31-35_000.mov,,,1.0,,,,,,,,13.0,19.0,4.0,883.8852355,2.0,1.0,1.0,,,,13,19,4,883.8852355,2,1.0
95,163,2021-02-11_15-53-10_000.mov,,,1.0,,,,,assume it was blind but didnt move too much ,,,20.0,35.0,10.0,925.7781368,2.0,1.0,1.0,,,,20,35,10,925.7781368,2,1.0
96,164,2021-02-16_10-27-52_000.mov,,,1.0,,,,,,,,14.0,21.0,6.0,736.9743195,2.0,1.0,1.0,,,,14,21,6,736.9743195,2,1.0
97,165,2021-02-26_11-22-36_000.mov,,,,,1.0,,,,,,21.0,50.0,14.0,854.9840639,2.0,2.0,1.0,,,,21,50,14,854.9840639,2,1.0
98,166,2021-03-02_10-36-32_000.mov,,,,,1.0,,,no info at all,,,10.0,42.0,9.0,911.5505857,2.0,2.0,,,1.0,Walks without orientation,10,42,9,911.5505857,2,2.0
99,167,2021-03-04_11-12-21_000.mov,,,1.0,,,,,hit the door but out of the frame,,,23.0,64.0,6.0,1264.180871,2.0,1.0,,1.0,,,23,64,6,1264.180871,2,3.0
100,168,2021-03-05_11-46-05_000.mov,,,1.0,,,,,,,,7.0,35.0,4.0,1447.108081,1.0,1.0,1.0,,,,7,35,4,1447.108081,1,1.0
101,169,2021-03-19_10-24-57_000.mov,,,,1.0,,,,,,,38.0,78.0,13.0,1132.346778,2.0,3.0,,1.0,,,38,78,13,1132.346778,2,3.0
102,170,2021-04-06_11-17-15_000.mov,,,1.0,,,,,,,,13.0,47.0,4.0,1172.562053,2.0,1.0,1.0,,,,13,47,4,1172.562053,2,1.0
103,171,2021-04-30_13-16-09_000.mov,,,,1.0,,,,,,,5.0,18.0,2.0,1196.317389,1.0,3.0,,1.0,,,5,18,2,1196.317389,1,3.0
104,172,2021-05-04_10-37-33_000.mov,,,1.0,,,,,,,,21.0,41.0,8.0,839.6872798,2.0,1.0,1.0,,,,21,41,8,839.6872798,2,1.0
105,173,2021-05-11_15-13-09_000.mov,,,1.0,,,,,,,,64.0,56.0,19.0,657.2189655,2.0,1.0,1.0,,,,64,56,19,657.2189655,2,1.0
106,174,2021-06-08_13-33-05_000.mov,,,1.0,,,,,,,,35.0,46.0,4.0,872.6759857,2.0,1.0,1.0,,,,35,46,4,872.6759857,2,1.0
107,175,2021-06-11_10-36-36_000.mov,,,1.0,,,,,,,,49.0,59.0,12.0,965.0726666,2.0,1.0,1.0,,,,49,59,12,965.0726666,2,1.0
108,176,2021-06-22_12-29-57_000.mov,,,1.0,,,,,,,,14.0,28.0,2.0,1095.067301,2.0,1.0,1.0,,,,14,28,2,1095.067301,2,1.0
109,177,2021-06-25_15-16-48_000.mov,,,1.0,,,,,,,,14.0,37.0,9.0,898.6649336,2.0,1.0,1.0,,,,14,37,9,898.6649336,2,1.0
110,178,2021-06-28_15-18-37_000.mov,,,,,1.0,,,,,,114.0,70.0,18.0,534.0657285,2.0,2.0,1.0,,,,114,70,18,534.0657285,2,1.0
111,179,2021-06-29_10-18-12_000.mov,,,,1.0,,,,,,,24.0,42.0,8.0,955.3088765,2.0,3.0,,,1.0,Seems to hear owner,24,42,8,955.3088765,2,2.0
